Injury Severity,Investigation Type,Country,Amateur Built,Aircraft Category,Airport Code,Aircraft Damage,Make,Broad Phase of Flight,Purpose of Flight,FAR Description,Weather Condition,Year,Month,Weekday,State
Fatal,Accident,United States,No,Airplane,VPZ,Destroyed,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,12,3, IN
Non-Fatal,Accident,United States,No,Airplane,CNO,Substantial,Cessna,LANDING,Instructional,Part 91,VMC,2018,12,2, CA
Non-Fatal,Accident,United States,No,Airplane,HXF,Substantial,Cessna,APPROACH,Personal,Part 91,VMC,2018,12,1, WI
Non-Fatal,Accident,United States,No,Airplane,SNC,Substantial,Other,STANDING,Personal,Part 91,VMC,2018,12,0, CT
Non-Fatal,Accident,United States,No,Airplane,LSN,Substantial,Cessna,APPROACH,Personal,Part 91,VMC,2018,12,3, CA
Non-Fatal,Accident,United States,No,Airplane,AJR,Substantial,Cessna,TAKEOFF,Instructional,Part 91,VMC,2018,12,2, GA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,2018,12,1, PA
Non-Fatal,Accident,United States,No,Airplane,RTS,Substantial,Cessna,APPROACH,Instructional,Part 91,IMC,2018,12,0, NV
Fatal,Accident,United States,No,Airplane,FXE,Destroyed,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,12,5, FL
Non-Fatal,Accident,United States,No,Airplane,W90,Substantial,Cessna,LANDING,Instructional,Part 91,VMC,2018,11,4, VA
Fatal,Accident,United States,No,Airplane,AAF,Destroyed,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,11,4, FL
Non-Fatal,Accident,United States,No,Airplane,FAR,Substantial,Cessna,APPROACH,Business,Part 91,IMC,2018,11,4, ND
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Cessna,TAKEOFF,Business,Part 91,VMC,2018,11,4, IN
Non-Fatal,Accident,United States,No,Airplane,BVS,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,11,3, WA
Non-Fatal,Accident,United States,No,Airplane,RYY,Substantial,Other,CRUISE,Personal,Part 91,VMC,2018,11,3, GA
Fatal,Accident,United States,No,Airplane,MZZ,Destroyed,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,11,3, IN
Non-Fatal,Accident,United States,No,Airplane,JZP,Substantial,Other,GO-AROUND,Instructional,Part 91,VMC,2018,11,2, GA
Non-Fatal,Accident,United States,No,Airplane,SPG,Substantial,Cessna,TAKEOFF,Aerial Observation,Part 91,VMC,2018,11,2, FL
Non-Fatal,Accident,United States,No,Airplane,UZA,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,11,2, SC
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,11,1, AK
Non-Fatal,Accident,United States,Yes,Airplane,O88,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,11,0, CA
Fatal,Accident,United States,No,Airplane,SAF,Destroyed,Other,APPROACH,Positioning,Part 91,VMC,2018,11,0, NM
Non-Fatal,Accident,United States,No,Airplane,PTV,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,11,6, CA
Non-Fatal,Accident,United States,No,Airplane,E95,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,11,4, AZ
Non-Fatal,Accident,United States,No,Airplane,FD51,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,11,4, FL
Non-Fatal,Accident,United States,No,Airplane,CRE,Substantial,Cessna,TAXI,Personal,Part 91,VMC,2018,11,4, SC
Non-Fatal,Accident,United States,Yes,Gyroplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2018,11,2, UT
Non-Fatal,Accident,United States,No,Airplane,OGD,Substantial,Cessna,LANDING,Instructional,Part 91,VMC,2018,11,2, UT
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Ferry,Part 91,VMC,2018,11,2, WI
Non-Fatal,Accident,United States,No,Airplane,FLY,Substantial,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,11,1, CO
Non-Fatal,Accident,United States,No,Airplane,TMB,Substantial,Cessna,TAXI,Instructional,Part 91,VMC,2018,11,1, FL
Non-Fatal,Accident,United States,No,Airplane,TMB,Substantial,Cessna,TAXI,Instructional,Part 91,VMC,2018,11,1, FL
Non-Fatal,Accident,United States,Yes,Airplane,CPR,Substantial,Other,TAKEOFF,Flight Test,Part 91,VMC,2018,11,0, WY
Non-Fatal,Accident,United States,No,Airplane,AJO,Substantial,Cessna,TAKEOFF,Instructional,Part 91,VMC,2018,11,0, CA
Non-Fatal,Accident,United States,Yes,Airplane,AJO,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,11,0, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,2018,11,6, TX
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Aerial Observation,Part 91,VMC,2018,11,6, TX
Non-Fatal,Accident,United States,No,Airplane,W99,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,11,6, WV
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Cessna,OTHER,Positioning,Part 91,VMC,2018,11,6, ND
Non-Fatal,Accident,United States,No,Airplane,GA86,Substantial,Cessna,TAKEOFF,Instructional,Part 91,VMC,2018,11,5, GA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2018,11,5, FL
Fatal,Accident,United States,Yes,Airplane,GVL,Substantial,Other,APPROACH,Personal,Part 91,VMC,2018,11,5, GA
Fatal,Accident,United States,No,Airplane,FL17,Substantial,Other,TAKEOFF,Instructional,Part 91,VMC,2018,11,5, FL
Fatal,Accident,United States,No,Airplane,LBL,Substantial,Cessna,CRUISE,Personal,Part 91,IMC,2018,11,5, KS
Fatal,Accident,United States,Yes,Airplane,AZ82,Substantial,Other,APPROACH,Personal,Part 91,VMC,2018,11,4, AZ
Non-Fatal,Accident,United States,No,Airplane,CLT,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,11,4, NC
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Cessna,DESCENT,Personal,Part 91,VMC,2018,11,4, NC
Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Positioning,Part 91,VMC,2018,11,4, AL
Fatal,Accident,United States,No,Airplane,RDD,Substantial,Cessna,TAKEOFF,Personal,Part 91,IMC,2018,11,3, CA
Non-Fatal,Accident,United States,Yes,Airplane,KOA,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,11,1, HI
Non-Fatal,Accident,United States,No,Airplane,INF,Substantial,Cessna,LANDING,Instructional,Part 91,VMC,2018,11,0, FL
Non-Fatal,Accident,United States,No,Airplane,MYR,Substantial,Other,APPROACH,Personal,Part 91,VMC,2018,11,0, SC
Non-Fatal,Accident,United States,No,Airplane,15FL,Substantial,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,11,6, FL
Non-Fatal,Accident,United States,Yes,Airplane,RNM,Destroyed,Other,TAKEOFF,Personal,Part 91,VMC,2018,11,5, CA
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,CRUISE,Business,Part 91,VMC,2018,11,5, HI
Non-Fatal,Accident,United States,No,Airplane,WWD,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2018,11,5, NJ
Non-Fatal,Accident,United States,No,Airplane,WA08,Substantial,Cessna,LANDING,Instructional,Part 91,VMC,2018,11,4, WA
Non-Fatal,Accident,United States,No,Airplane,CCB,Substantial,Cessna,DESCENT,Personal,Part 91,VMC,2018,11,3, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Cessna,CRUISE,Personal,Part 91,VMC,2018,11,3, FL
Non-Fatal,Accident,United States,No,Airplane,CHD,Minor,Cessna,TAXI,Instructional,Part 91,VMC,2018,11,0, AZ
Non-Fatal,Accident,United States,No,Airplane,CHD,Substantial,Cessna,STANDING,Instructional,Part 91,VMC,2018,11,0, AZ
Non-Fatal,Accident,United States,No,Airplane,CVN,Substantial,Cessna,CRUISE,Personal,Part 91,VMC,2018,11,0, NM
Non-Fatal,Accident,United States,No,Airplane,LPR,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,11,6, OH
Fatal,Accident,United States,No,Airplane,5GA4,Substantial,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,11,6, GA
Fatal,Accident,United States,Yes,Airplane,LKU,Substantial,Other,APPROACH,Personal,Part 91,VMC,2018,11,6, VA
Fatal,Accident,United States,No,Helicopter,NonAirport,Destroyed,Other,CRUISE,Personal,Part 91,VMC,2018,11,6, TX
Non-Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2018,11,5, NV
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,11,5, AZ
Non-Fatal,Accident,United States,No,Airplane,MRI,Substantial,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,11,5, AK
Fatal,Accident,United States,Yes,Airplane,EIK,Substantial,Other,APPROACH,Personal,Part 91,VMC,2018,11,4, CO
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Cessna,UNKNOWN,Personal,Part 91,IMC,2018,11,4, SD
Non-Fatal,Accident,United States,No,Airplane,UUO,Substantial,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,11,3, AK
Non-Fatal,Accident,United States,No,Airplane,GNV,Substantial,Cessna,LANDING,Business,Part 91,VMC,2018,10,2, FL
Non-Fatal,Accident,United States,No,Airplane,68CA,Substantial,Cessna,APPROACH,Personal,Part 91,VMC,2018,10,1, CA
Fatal,Accident,United States,No,Helicopter,NonAirport,Destroyed,Other,MANEUVERING,External Load,Part 133,VMC,2018,10,1, NY
Non-Fatal,Accident,United States,No,Airplane,14J,Substantial,Cessna,TAKEOFF,Instructional,Part 91,VMC,2018,10,6, AL
Non-Fatal,Accident,United States,No,Airplane,4B9,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,10,6, CT
Non-Fatal,Accident,United States,No,Airplane,MBT,Substantial,Cessna,MANEUVERING,Personal,Part 91,VMC,2018,10,6, TN
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,10,5, OR
Non-Fatal,Accident,United States,No,Airplane,SZP,Substantial,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,10,5, CA
Non-Fatal,Accident,United States,No,Airplane,APA,Substantial,Cessna,LANDING,Instructional,Part 91,VMC,2018,10,5, CO
Non-Fatal,Accident,United States,Yes,Airplane,X59,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2018,10,5, FL
Non-Fatal,Accident,United States,Yes,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2018,10,5, MO
Non-Fatal,Accident,United States,No,Airplane,IWS,Substantial,Cessna,CRUISE,Personal,Part 91,VMC,2018,10,5, TX
Non-Fatal,Accident,United States,No,Airplane,HOB,Substantial,Cessna,APPROACH,Personal,Part 91,VMC,2018,10,5, NM
Non-Fatal,Accident,United States,Yes,Airplane,LAR,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,10,4, WY
Non-Fatal,Accident,United States,No,Airplane,TMB,Substantial,Cessna,LANDING,Instructional,Part 91,VMC,2018,10,4, FL
Non-Fatal,Accident,United States,No,Airplane,CXP,Substantial,Other,LANDING,Instructional,Part 91,VMC,2018,10,3, NV
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,10,3, VA
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Cessna,CLIMB,Personal,Part 91,VMC,2018,10,3, AO
Non-Fatal,Accident,United States,No,Airplane,UNV,Substantial,Cessna,APPROACH,Personal,Part 91,VMC,2018,10,2, PA
Non-Fatal,Accident,United States,Yes,Airplane,MWO,Substantial,Other,LANDING,Instructional,Part 91,VMC,2018,10,2, OH
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,CRUISE,Personal,Part 91,VMC,2018,10,1, CA
Fatal,Accident,United States,No,Airplane,OBI,Destroyed,Other,TAKEOFF,Personal,Part 91,VMC,2018,10,1, NJ
Non-Fatal,Accident,United States,Yes,Airplane,3JC,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2018,10,0, KS
Non-Fatal,Accident,United States,No,Airplane,1L8,Substantial,Cessna,CLIMB,Personal,Part 91,VMC,2018,10,6, UT
Non-Fatal,Accident,United States,No,Airplane,49N,Substantial,Cessna,LANDING,Positioning,Part 91,VMC,2018,10,5, NY
Fatal,Accident,United States,Yes,Airplane,FD93,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2018,10,4, FL
Non-Fatal,Accident,United States,No,Airplane,S33,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,10,3, OR
Non-Fatal,Accident,United States,No,Airplane,9D9,Substantial,Cessna,LANDING,Instructional,Part 91,VMC,2018,10,3, MI
Non-Fatal,Accident,United States,No,Airplane,LYH,Substantial,Cessna,TAKEOFF,Instructional,Part 91,VMC,2018,10,3, VA
Fatal,Accident,United States,No,Helicopter,NonAirport,Destroyed,Other,CRUISE,Instructional,Part 91,VMC,2018,10,2, MO
Non-Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2018,10,1, FL
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Cessna,DESCENT,Personal,Part 91,VMC,2018,10,1, NM
Non-Fatal,Accident,United States,No,Airplane,B06,Substantial,Cessna,TAXI,Personal,Part 91,VMC,2018,10,6, VT
Non-Fatal,Accident,United States,No,Airplane,LZU,Substantial,Cessna,LANDING,Instructional,Part 91,VMC,2018,10,6, GA
Fatal,Accident,United States,No,Airplane,PAN,Destroyed,Cessna,APPROACH,Personal,Part 91,VMC,2018,10,5, AZ
Non-Fatal,Accident,United States,No,Airplane,1W1,Substantial,Cessna,LANDING,Instructional,Part 91,VMC,2018,10,5, WA
Non-Fatal,Accident,United States,Yes,Airplane,MVI,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,10,5, CO
Non-Fatal,Accident,United States,No,Airplane,RVJ,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,10,5, GA
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Cessna,CRUISE,Instructional,Part 91,VMC,2018,10,5, NY
Non-Fatal,Accident,United States,No,Airplane,18V,Substantial,Cessna,APPROACH,Personal,Part 91,VMC,2018,10,5, CO
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Cessna,CRUISE,Personal,Part 91,VMC,2018,10,5, GA
Non-Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,APPROACH,Personal,Part 91,VMC,2018,10,4, WA
Non-Fatal,Accident,United States,Yes,Airplane,7MS3,Substantial,Other,APPROACH,Personal,Part 91,VMC,2018,10,4, MS
Non-Fatal,Accident,United States,No,Airplane,RFG,Substantial,Cessna,APPROACH,Personal,Part 91,VMC,2018,10,4, TX
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Cessna,DESCENT,Personal,Part 91,VMC,2018,10,4, TX
Fatal,Accident,United States,No,Airplane,PVT,Destroyed,Cessna,CRUISE,Aerial Application,Part 137,VMC,2018,10,4, TX
Non-Fatal,Accident,United States,No,Airplane,6AK2,Substantial,Cessna,APPROACH,Positioning,Part 91,VMC,2018,10,3, AK
Non-Fatal,Accident,United States,No,Airplane,OAR,Substantial,Cessna,TAXI,Personal,Part 91,VMC,2018,10,2, CA
Non-Fatal,Accident,United States,Yes,Airplane,HAI,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2018,10,1, MI
Fatal,Accident,United States,Yes,Airplane,CGI,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,10,1, MO
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,APPROACH,Other Work Use,Part 91,VMC,2018,10,1, GA
Non-Fatal,Accident,United States,No,Airplane,GOO,Substantial,Cessna,DESCENT,Instructional,Part 91,VMC,2018,10,0, CA
Non-Fatal,Accident,United States,No,Airplane,PVT,Substantial,Cessna,TAKEOFF,Aerial Application,Part 137,VMC,2018,10,0, LA
Non-Fatal,Accident,United States,No,Airplane,K07,Substantial,Cessna,TAKEOFF,Positioning,Part 137,VMC,2018,10,0, MO
Non-Fatal,Accident,United States,No,Airplane,7G1,Substantial,Cessna,TAXI,Personal,Part 91,IMC,2018,10,6, WV
Non-Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,2018,10,6, PA
Non-Fatal,Accident,United States,Yes,Airplane,M17,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,10,6, MO
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,TAKEOFF,Aerial Observation,Part 91,VMC,2018,10,6, DE
Non-Fatal,Accident,United States,No,Weight-Shift,78AA,Substantial,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,10,6, AK
Non-Fatal,Accident,United States,No,Airplane,NEW,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,10,5, LA
Non-Fatal,Accident,United States,No,Airplane,MFR,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,10,5, OR
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Cessna,CRUISE,Personal,Part 91,IMC,2018,10,5, VA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,10,4, TX
Non-Fatal,Accident,United States,No,Airplane,SCK,Substantial,Cessna,TAKEOFF,Instructional,Part 91,VMC,2018,10,4, CA
Non-Fatal,Accident,United States,No,Airplane,SAT,Substantial,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,10,4, TX
Non-Fatal,Accident,United States,No,Airplane,TOP,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,10,4, KS
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,2018,10,4, MS
Non-Fatal,Accident,United States,No,Airplane,VUJ,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,10,3, NC
Non-Fatal,Accident,United States,No,Airplane,WDR,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,10,3, GA
Non-Fatal,Accident,United States,No,Airplane,PVT,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,10,3, TX
Non-Fatal,Accident,United States,No,Airplane,H68,Substantial,Cessna,MANEUVERING,Flight Test,Part 91,VMC,2018,10,3, OK
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2018,10,3, FL
Non-Fatal,Accident,United States,No,Airplane,SUN,Substantial,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,10,2, ID
Non-Fatal,Accident,United States,No,Airplane,0A3,Substantial,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,10,2, TN
Non-Fatal,Accident,United States,No,Weight-Shift,T25,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,10,1, TX
Fatal,Accident,United States,No,Airplane,POC,Substantial,Cessna,APPROACH,Personal,Part 91,VMC,2018,10,0, CA
Non-Fatal,Accident,United States,No,Airplane,LAL,Substantial,Cessna,LANDING,Instructional,Part 91,VMC,2018,10,0, FL
Non-Fatal,Accident,United States,No,Airplane,BLM,Substantial,Cessna,TAXI,Personal,Part 91,VMC,2018,10,0, NJ
Fatal,Accident,United States,No,Airplane,KPOC,Substantial,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,9,6, CA
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Cessna,MANEUVERING,Personal,Part 91,VMC,2018,9,6, ID
Non-Fatal,Accident,United States,No,Airplane,VNY,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,9,6, CA
Non-Fatal,Accident,United States,No,Airplane,2G9,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,9,6, PA
Non-Fatal,Accident,United States,No,Helicopter,NONE,Substantial,Other,STANDING,Aerial Observation,Part 91,VMC,2018,9,6, MD
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CLIMB,Instructional,Part 91,VMC,2018,9,6, TX
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Cessna,MANEUVERING,Personal,Part 91,VMC,2018,9,6, AK
Non-Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,9,5, UT
Non-Fatal,Accident,United States,No,Airplane,W81,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,9,5, VA
Non-Fatal,Accident,United States,No,Airplane,SEF,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,9,5, FL
Non-Fatal,Accident,United States,No,Airplane,SEF,Substantial,Cessna,LANDING,Instructional,Part 91,VMC,2018,9,5, FL
Fatal,Accident,United States,No,Airplane,GMU,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,9,3, SC
Non-Fatal,Accident,United States,No,Airplane,MLD,Substantial,Cessna,TAKEOFF,Ferry,Part 91,VMC,2018,9,2, ID
Non-Fatal,Accident,United States,No,Airplane,PANC,Substantial,Cessna,DESCENT,Personal,Part 91,VMC,2018,9,2, AK
Non-Fatal,Accident,United States,No,Airplane,HCR,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,9,1, UT
Fatal,Accident,United States,No,Airplane,KOSC,Destroyed,Cessna,APPROACH,Business,Part 91,IMC,2018,9,1, MI
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2018,9,0, PR
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Other Work Use,Part 91,VMC,2018,9,6, AK
Non-Fatal,Accident,United States,No,Glider,6FL0,Minor,Other,APPROACH,Instructional,Part 91,VMC,2018,9,5, FL
Non-Fatal,Accident,United States,No,Airplane,GGE,Substantial,Cessna,MANEUVERING,Instructional,Part 91,VMC,2018,9,5, SC
Non-Fatal,Accident,United States,No,Airplane,RBG,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,9,4, OR
Non-Fatal,Accident,United States,No,Airplane,JRF,Substantial,Other,TAKEOFF,Instructional,Part 91,VMC,2018,9,3, HI
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,9,3, AK
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Business,Part 91,VMC,2018,9,3, AK
Fatal,Accident,United States,No,Airplane,FES,Substantial,Cessna,GO-AROUND,Personal,Part 91,VMC,2018,9,3, MO
Non-Fatal,Accident,United States,No,Airplane,FDK,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,9,2, MD
Non-Fatal,Accident,United States,Yes,Airplane,7S5,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,9,2, OR
Non-Fatal,Accident,United States,Yes,Airplane,TRI,Substantial,Other,APPROACH,Personal,Part 91,VMC,2018,9,2, TN
Non-Fatal,Accident,United States,No,Airplane,PSO,Substantial,Cessna,MANEUVERING,Instructional,Part 91,VMC,2018,9,2, CO
Non-Fatal,Accident,United States,No,Airplane,GRI,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,9,1, NE
Non-Fatal,Accident,United States,No,Airplane,CCB,Substantial,Cessna,APPROACH,Personal,Part 91,VMC,2018,9,0, CA
Fatal,Accident,United States,No,Airplane,P52,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,9,0, AZ
Non-Fatal,Accident,United States,No,Airplane,JYM,Substantial,Cessna,APPROACH,Personal,Part 91,VMC,2018,9,0, MI
Non-Fatal,Accident,United States,No,Airplane,MTP,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2018,9,6, NY
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Cessna,CRUISE,Instructional,Part 91,VMC,2018,9,5, CA
Non-Fatal,Accident,United States,No,Airplane,IFP,Substantial,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,9,5, AZ
Non-Fatal,Accident,United States,No,Airplane,SJN,Substantial,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,9,5, AZ
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,9,5, OR
Non-Fatal,Accident,United States,No,Airplane,44N,Substantial,Cessna,TAXI,Personal,Part 91,VMC,2018,9,5, NY
Non-Fatal,Accident,United States,No,Airplane,44N,Substantial,Cessna,TAXI,Personal,Part 91,VMC,2018,9,5, NY
Non-Fatal,Accident,United States,No,Airplane,VAY,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,9,5, NJ
Fatal,Accident,United States,No,Airplane,BED,Destroyed,Other,APPROACH,Personal,Part 91,IMC,2018,9,5, MA
Non-Fatal,Accident,United States,No,Airplane,RTS,Substantial,Other,MANEUVERING,Air Race_Show,Part 91,VMC,2018,9,4, NV
Non-Fatal,Accident,United States,No,Airplane,RTS,Minor,Other,MANEUVERING,Air Race_Show,Part 91,VMC,2018,9,4, NV
Non-Fatal,Accident,United States,No,Airplane,SBP,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,9,4, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,9,3, AK
Non-Fatal,Accident,United States,No,Airplane,SPK,Substantial,Cessna,TAKEOFF,Instructional,Part 91,VMC,2018,9,3, UT
Fatal,Accident,United States,Yes,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2018,9,2, MT
Non-Fatal,Accident,United States,No,Airplane,VBT,Substantial,Other,GO-AROUND,Personal,Part 91,VMC,2018,9,2, AR
Fatal,Accident,United States,Yes,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Personal,Part 91,VMC,2018,9,2, SC
Non-Fatal,Accident,United States,No,Airplane,TNT,Substantial,Cessna,LANDING,Instructional,Part 91,VMC,2018,9,1, FL
Non-Fatal,Accident,United States,No,Airplane,PGA,Substantial,Cessna,LANDING,Personal,Part 91,VMC,2018,9,1, AZ
Non-Fatal,Accident,United States,Yes,Airplane,CXP,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,9,1, NV
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,GO-AROUND,Instructional,Part 91,VMC,2018,9,1, TX
Non-Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2018,9,0, TX
Non-Fatal,Accident,United States,Yes,Airplane,CN12,Substantial,Other,LANDING,Personal,Part 91,VMC,2018,9,6, CA
Non-Fatal,Accident,United States,No,Airplane,CNO,Substantial,Cessna,LANDING,Instructional,Part 91,VMC,2018,9,6, CA
Fatal,Accident,United States,No,Airplane,LNA,Destroyed,Cessna,APPROACH,Personal,Part 91,VMC,2018,9,6, FL
Non-Fatal,Accident,United States,No,Airplane,HRX,Destroyed,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,9,6, TX
Non-Fatal,Accident,United States,No,Airplane,JAQ,Substantial,Cessna,TAKEOFF,Personal,Part 91,VMC,2018,9,5, CA
Non-Fatal,Accident,United States,No,Airplane,MCW,Substantial,Other,STANDING,Personal,Part 91,VMC,2018,9,5, IA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Cessna,CRUISE,Personal,Part 91,VMC,2018,9,5, FL
